"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"1";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"2";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"3";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";6;"Arnika";"Detractor";1;0;0;1
"4";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";2;"Arnika";"Detractor";1;0;0;1
"5";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"6";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"mniej niż 30";9;"Arnika";"Promoter";0;0;1;1
"7";"Wyższe";"Główny agronom";"100.01 - 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"8";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";3;"Arnika";"Detractor";1;0;0;1
"9";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"powyżej 60";10;"Arnika";"Promoter";0;0;1;1
"10";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"11";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";4;"Arnika";"Detractor";1;0;0;1
"12";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"13";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"41 - 50";6;"Arnika";"Detractor";1;0;0;1
"14";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"mniej niż 30";6;"Arnika";"Detractor";1;0;0;1
"15";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"16";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"17";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"18";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"19";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"powyżej 60";8;"Arnika";"Neutral";0;1;0;1
